"condition","clock_model","true_chronos_model","mu","heterotachy","replicate","treePL_MAE","chronos_MAE","treePL_smooth","chronos_model","chronos_lambda","chronos_fit_score","chronos_nb_rate_cat","chronos_selector","chronos_selector_note"
"clockstrict_mu0_het0.05","strict","clock",0,0.05,1,0.601540876538537,1.46842388573459e-05,0.1,"clock",0.1,940.301141842939,NA,"robust","phiic_default"
"clockautocorrelated_mu0_het0.05","autocorrelated","correlated",0,0.05,1,0.311239824710689,0.0298106365999679,1,"correlated",0.1,1497.94789860147,NA,"robust","switch_nonclock_tie_to_correlated"
"clockindependent_mu0_het0.05","independent","relaxed",0,0.05,1,0.298121442586074,0.0419541941890708,1,"clock",0.1,927.263498844146,NA,"robust","phiic_default"
"clockdiscrete_mu0_het0.05","discrete","discrete",0,0.05,1,0.602228118715206,0.0596033795540239,10,"clock",0.1,939.630110167705,NA,"robust","phiic_default"
"clockstrict_mu0.5_het0.05","strict","clock",0.5,0.05,1,1.4063615353851,6.89249293409357e-06,0.1,"clock",0.1,1053.68733862421,NA,"robust","phiic_default"
"clockautocorrelated_mu0.5_het0.05","autocorrelated","correlated",0.5,0.05,1,0.780978230224236,0.0823262512251356,1,"correlated",0.1,1637.91467841645,NA,"robust","switch_nonclock_tie_to_correlated"
"clockindependent_mu0.5_het0.05","independent","relaxed",0.5,0.05,1,1.42457914120141,0.0507473427823146,0.1,"clock",0.1,1025.20184169153,NA,"robust","phiic_default"
"clockdiscrete_mu0.5_het0.05","discrete","discrete",0.5,0.05,1,1.09095279600855,0.103027957262295,0.1,"correlated",0.1,1633.12435412993,NA,"robust","switch_nonclock_tie_to_correlated"
"clockstrict_mu0.8_het0.05","strict","clock",0.8,0.05,1,1.92477550754644,2.82868102294051e-05,10,"clock",0.1,1234.37285695684,NA,"robust","phiic_default"
"clockautocorrelated_mu0.8_het0.05","autocorrelated","correlated",0.8,0.05,1,NA,0.123019479372907,NA,"correlated",0.1,1799.51383579963,NA,"robust","switch_nonclock_tie_to_correlated"
"clockindependent_mu0.8_het0.05","independent","relaxed",0.8,0.05,1,0.953525265635357,0.153470113857934,0.1,"correlated",0.1,1822.52116759873,NA,"robust","switch_nonclock_tie_to_correlated"
"clockdiscrete_mu0.8_het0.05","discrete","discrete",0.8,0.05,1,1.4832978050136,0.233701855223071,0.1,"correlated",0.1,1815.22715412792,NA,"robust","switch_nonclock_tie_to_correlated"
"clockstrict_mu0_het0.25","strict","clock",0,0.25,1,0.43013317851944,3.87289931666254e-06,10,"clock",0.1,918.596061479347,NA,"robust","phiic_default"
"clockautocorrelated_mu0_het0.25","autocorrelated","correlated",0,0.25,1,NA,1.52308703606984,NA,"relaxed",0.1,1684.35420940696,NA,"robust","switch_corr_to_relaxed_ploglik"
"clockindependent_mu0_het0.25","independent","relaxed",0,0.25,1,0.276816224256024,0.329634375595602,0.1,"correlated",0.1,1505.21694403761,NA,"robust","switch_nonclock_tie_to_correlated"
"clockdiscrete_mu0_het0.25","discrete","discrete",0,0.25,1,0.478755718078804,0.61520731954415,1,"correlated",0.1,1508.63208009889,NA,"robust","switch_nonclock_tie_to_correlated"
"clockstrict_mu0.5_het0.25","strict","clock",0.5,0.25,1,0.801007485093844,1.47291881263014e-05,0.1,"clock",0.1,1030.87921020055,NA,"robust","phiic_default"
"clockautocorrelated_mu0.5_het0.25","autocorrelated","correlated",0.5,0.25,1,NA,0.860144596563666,NA,"correlated",0.1,1650.07996427781,NA,"robust","switch_nonclock_tie_to_correlated"
"clockindependent_mu0.5_het0.25","independent","relaxed",0.5,0.25,1,NA,0.565930864894121,NA,"correlated",0.1,1616.08722404889,NA,"robust","switch_nonclock_tie_to_correlated"
"clockdiscrete_mu0.5_het0.25","discrete","discrete",0.5,0.25,1,0.599075593560646,0.767165144471447,0.1,"correlated",0.1,1612.33095186406,NA,"robust","switch_nonclock_tie_to_correlated"
"clockstrict_mu0.8_het0.25","strict","clock",0.8,0.25,1,0.934714485785159,1.81036214850842e-05,10,"clock",0.1,1203.52893129973,NA,"robust","phiic_default"
"clockautocorrelated_mu0.8_het0.25","autocorrelated","correlated",0.8,0.25,1,2.18955163133554,2.84039311396007,0.1,"discrete",0.1,1390.27191422301,2,"robust","phiic_default"
"clockindependent_mu0.8_het0.25","independent","relaxed",0.8,0.25,1,1.68027871459461,1.03482128209549,1,"correlated",0.1,1824.56858207139,NA,"robust","switch_nonclock_tie_to_correlated"
"clockdiscrete_mu0.8_het0.25","discrete","discrete",0.8,0.25,1,3.25435666542452,2.45566045942827,1,"correlated",0.1,1833.71060371626,NA,"robust","switch_nonclock_tie_to_correlated"
"clockstrict_mu0_het0.05","strict","clock",0,0.05,2,0.291744913350207,5.47568377218553e-06,1,"clock",0.1,902.41989656674,NA,"robust","phiic_default"
"clockautocorrelated_mu0_het0.05","autocorrelated","correlated",0,0.05,2,0.521186329203446,0.0625094078087949,0.1,"correlated",0.1,1522.74303322015,NA,"robust","switch_nonclock_tie_to_correlated"
"clockindependent_mu0_het0.05","independent","relaxed",0,0.05,2,1.11496285232023,0.0457050888445235,0.1,"clock",0.1,928.652705346607,NA,"robust","phiic_default"
"clockdiscrete_mu0_het0.05","discrete","discrete",0,0.05,2,0.70276791032232,0.0542723326975958,1,"clock",0.1,941.364921198019,NA,"robust","phiic_default"
"clockstrict_mu0.5_het0.05","strict","clock",0.5,0.05,2,0.633430969664517,9.37143502399107e-06,10,"clock",0.1,1031.96120142128,NA,"robust","phiic_default"
"clockautocorrelated_mu0.5_het0.05","autocorrelated","correlated",0.5,0.05,2,NA,0.0812395034335643,NA,"correlated",0.1,1684.49496153814,NA,"robust","switch_nonclock_tie_to_correlated"
"clockindependent_mu0.5_het0.05","independent","relaxed",0.5,0.05,2,0.691516842215426,0.0803978872660567,0.1,"clock",0.1,1043.67107891399,NA,"robust","phiic_default"
"clockdiscrete_mu0.5_het0.05","discrete","discrete",0.5,0.05,2,0.750853914061785,0.121074253332864,10,"correlated",0.1,1635.63415914693,NA,"robust","switch_nonclock_tie_to_correlated"
"clockstrict_mu0.8_het0.05","strict","clock",0.8,0.05,2,0.693652637370909,3.01969107650713e-05,10,"clock",0.1,1217.11315272379,NA,"robust","phiic_default"
"clockautocorrelated_mu0.8_het0.05","autocorrelated","correlated",0.8,0.05,2,1.12281814171644,0.0830328118911105,10,"correlated",0.1,1782.80437836878,NA,"robust","switch_nonclock_tie_to_correlated"
"clockindependent_mu0.8_het0.05","independent","relaxed",0.8,0.05,2,2.27166237975807,0.116843438889555,0.1,"correlated",0.1,1829.73710704363,NA,"robust","switch_nonclock_tie_to_correlated"
"clockdiscrete_mu0.8_het0.05","discrete","discrete",0.8,0.05,2,0.814769941677287,0.240786905494696,10,"correlated",0.1,1830.15809702158,NA,"robust","switch_nonclock_tie_to_correlated"
"clockstrict_mu0_het0.25","strict","clock",0,0.25,2,0.301401940612696,6.34607658773107e-06,1,"clock",0.1,909.847318434929,NA,"robust","phiic_default"
"clockautocorrelated_mu0_het0.25","autocorrelated","correlated",0,0.25,2,0.706165578923307,0.659002904356513,0.1,"correlated",0.1,1552.44354285581,NA,"robust","switch_nonclock_tie_to_correlated"
"clockindependent_mu0_het0.25","independent","relaxed",0,0.25,2,0.280252225577308,0.24194054058046,10,"correlated",0.1,1497.39671604276,NA,"robust","switch_nonclock_tie_to_correlated"
"clockdiscrete_mu0_het0.25","discrete","discrete",0,0.25,2,NA,0.474851299621498,NA,"correlated",0.1,1494.73148201781,NA,"robust","switch_nonclock_tie_to_correlated"
"clockstrict_mu0.5_het0.25","strict","clock",0.5,0.25,2,0.715815143851037,1.01935184082464e-05,10,"clock",0.1,1027.30381006146,NA,"robust","phiic_default"
"clockautocorrelated_mu0.5_het0.25","autocorrelated","correlated",0.5,0.25,2,NA,1.15469678460764,NA,"correlated",0.1,1576.12538568728,NA,"robust","switch_nonclock_tie_to_correlated"
"clockindependent_mu0.5_het0.25","independent","relaxed",0.5,0.25,2,0.915758240566808,0.483234743440242,0.1,"correlated",0.1,1636.85087667984,NA,"robust","switch_nonclock_tie_to_correlated"
"clockdiscrete_mu0.5_het0.25","discrete","discrete",0.5,0.25,2,0.601232259192289,0.857278506174685,10,"correlated",0.1,1661.60685062644,NA,"robust","switch_nonclock_tie_to_correlated"
"clockstrict_mu0.8_het0.25","strict","clock",0.8,0.25,2,2.02981067032482,2.63534143614971e-05,0.1,"clock",0.1,1208.88065297083,NA,"robust","phiic_default"
"clockautocorrelated_mu0.8_het0.25","autocorrelated","correlated",0.8,0.25,2,NA,2.70659387046852,NA,"discrete",0.1,1641.56881305464,2,"robust","phiic_default"
"clockindependent_mu0.8_het0.25","independent","relaxed",0.8,0.25,2,3.74954158928212,2.3181272134791,0.1,"correlated",0.1,1832.24447534879,NA,"robust","switch_nonclock_tie_to_correlated"
"clockdiscrete_mu0.8_het0.25","discrete","discrete",0.8,0.25,2,2.28175756551521,2.07587765534857,0.1,"correlated",0.1,1835.33209993173,NA,"robust","switch_nonclock_tie_to_correlated"
"clockstrict_mu0_het0.05","strict","clock",0,0.05,3,0.373077090897873,5.89753738460964e-06,10,"clock",0.1,919.555618048528,NA,"robust","phiic_default"
"clockautocorrelated_mu0_het0.05","autocorrelated","correlated",0,0.05,3,0.175482335673651,0.0332376582378712,0.1,"correlated",0.1,1498.60738551252,NA,"robust","switch_nonclock_tie_to_correlated"
"clockindependent_mu0_het0.05","independent","relaxed",0,0.05,3,1.13753701150625,0.0629821313454293,1,"clock",0.1,934.208168746622,NA,"robust","phiic_default"
"clockdiscrete_mu0_het0.05","discrete","discrete",0,0.05,3,0.266942695576794,0.0461232884423113,1,"clock",0.1,914.653640225098,NA,"robust","phiic_default"
"clockstrict_mu0.5_het0.05","strict","clock",0.5,0.05,3,0.61406727257939,1.23999740196855e-05,10,"clock",0.1,1042.98778333525,NA,"robust","phiic_default"
"clockautocorrelated_mu0.5_het0.05","autocorrelated","correlated",0.5,0.05,3,0.452451069212437,0.0863471330762125,10,"correlated",0.1,1606.94323998373,NA,"robust","switch_nonclock_tie_to_correlated"
"clockindependent_mu0.5_het0.05","independent","relaxed",0.5,0.05,3,1.25290900507445,0.0747948906741123,10,"clock",0.1,1062.67705721634,NA,"robust","phiic_default"
"clockdiscrete_mu0.5_het0.05","discrete","discrete",0.5,0.05,3,0.820708354186932,0.0967045987254627,0.1,"correlated",0.1,1628.4252462251,NA,"robust","switch_nonclock_tie_to_correlated"
"clockstrict_mu0.8_het0.05","strict","clock",0.8,0.05,3,4.13076627149046,6.99444251311995e-05,0.1,"clock",0.1,1207.89025314507,NA,"robust","phiic_default"
"clockautocorrelated_mu0.8_het0.05","autocorrelated","correlated",0.8,0.05,3,2.69406742081936,0.290634462966666,10,"correlated",0.1,1817.25947494003,NA,"robust","switch_nonclock_tie_to_correlated"
"clockindependent_mu0.8_het0.05","independent","relaxed",0.8,0.05,3,2.36831967656502,0.146947244467211,10,"correlated",0.1,1820.87302459278,NA,"robust","switch_nonclock_tie_to_correlated"
"clockdiscrete_mu0.8_het0.05","discrete","discrete",0.8,0.05,3,2.59485224522124,0.253715078343869,1,"correlated",0.1,1803.66393268039,NA,"robust","switch_nonclock_tie_to_correlated"
"clockstrict_mu0_het0.25","strict","clock",0,0.25,3,1.23267627511613,4.58733998210437e-06,10,"clock",0.1,912.654214622729,NA,"robust","phiic_default"
"clockautocorrelated_mu0_het0.25","autocorrelated","correlated",0,0.25,3,0.532487245250862,0.36002189541492,0.1,"correlated",0.1,1548.01689643232,NA,"robust","switch_nonclock_tie_to_correlated"
"clockindependent_mu0_het0.25","independent","relaxed",0,0.25,3,NA,0.304990212984853,NA,"correlated",0.1,1527.80489754373,NA,"robust","switch_nonclock_tie_to_correlated"
"clockdiscrete_mu0_het0.25","discrete","discrete",0,0.25,3,NA,0.376916035931858,NA,"correlated",0.1,1530.85385654196,NA,"robust","switch_nonclock_tie_to_correlated"
"clockstrict_mu0.5_het0.25","strict","clock",0.5,0.25,3,0.436737422035666,8.72093316642211e-06,1,"clock",0.1,1043.03711896152,NA,"robust","phiic_default"
"clockautocorrelated_mu0.5_het0.25","autocorrelated","correlated",0.5,0.25,3,1.10199811204928,1.16925125735946,0.1,"discrete",0.1,1264.87516184995,2,"robust","phiic_default"
"clockindependent_mu0.5_het0.25","independent","relaxed",0.5,0.25,3,1.18278991071,0.747201519249955,1,"correlated",0.1,1637.16704633422,NA,"robust","switch_nonclock_tie_to_correlated"
"clockdiscrete_mu0.5_het0.25","discrete","discrete",0.5,0.25,3,0.707199370120737,0.966141598874313,10,"correlated",0.1,1629.79552680771,NA,"robust","switch_nonclock_tie_to_correlated"
"clockstrict_mu0.8_het0.25","strict","clock",0.8,0.25,3,1.65030584378706,2.42124324185689e-05,10,"clock",0.1,1238.39535501029,NA,"robust","phiic_default"
"clockautocorrelated_mu0.8_het0.25","autocorrelated","correlated",0.8,0.25,3,2.54009120407937,2.76227951513991,0.1,"discrete",0.1,1487.83114220491,2,"robust","phiic_default"
"clockindependent_mu0.8_het0.25","independent","relaxed",0.8,0.25,3,1.24400767258797,1.2553675224585,1,"correlated",0.1,1811.90731652178,NA,"robust","switch_nonclock_tie_to_correlated"
"clockdiscrete_mu0.8_het0.25","discrete","discrete",0.8,0.25,3,2.09133328946604,2.70470052290058,10,"correlated",0.1,1833.22052781349,NA,"robust","switch_nonclock_tie_to_correlated"
"clockstrict_mu0_het0.05","strict","clock",0,0.05,4,0.838110183814638,9.00163740751063e-06,10,"clock",0.1,937.312896974368,NA,"robust","phiic_default"
"clockautocorrelated_mu0_het0.05","autocorrelated","correlated",0,0.05,4,0.140210793997663,0.0354304671865123,10,"correlated",0.1,1542.06000390557,NA,"robust","switch_nonclock_tie_to_correlated"
"clockindependent_mu0_het0.05","independent","relaxed",0,0.05,4,0.332917736995442,0.0350250185611755,0.1,"clock",0.1,915.010081391001,NA,"robust","phiic_default"
"clockdiscrete_mu0_het0.05","discrete","discrete",0,0.05,4,0.583556109212197,0.0647238980073645,0.1,"clock",0.1,943.180619311892,NA,"robust","phiic_default"
"clockstrict_mu0.5_het0.05","strict","clock",0.5,0.05,4,0.45522706806706,2.01402215669093e-05,1,"clock",0.1,1027.43918214739,NA,"robust","phiic_default"
"clockautocorrelated_mu0.5_het0.05","autocorrelated","correlated",0.5,0.05,4,0.653980887234544,0.058686364446746,10,"correlated",0.1,1651.35480584557,NA,"robust","switch_nonclock_tie_to_correlated"
"clockindependent_mu0.5_het0.05","independent","relaxed",0.5,0.05,4,0.502907434854787,0.0656158007750165,10,"clock",0.1,1040.54473535005,NA,"robust","phiic_default"
"clockdiscrete_mu0.5_het0.05","discrete","discrete",0.5,0.05,4,1.15102748622486,0.174936690629051,0.1,"correlated",0.1,1633.06813841434,NA,"robust","switch_nonclock_tie_to_correlated"
"clockstrict_mu0.8_het0.05","strict","clock",0.8,0.05,4,0.392817597687193,4.61154568603931e-05,0.1,"clock",0.1,1228.98347992775,NA,"robust","phiic_default"
"clockautocorrelated_mu0.8_het0.05","autocorrelated","correlated",0.8,0.05,4,1.42191035754369,0.137991396929696,0.1,"correlated",0.1,1807.42418612747,NA,"robust","switch_nonclock_tie_to_correlated"
"clockindependent_mu0.8_het0.05","independent","relaxed",0.8,0.05,4,2.52649047600319,0.19997076353876,1,"correlated",0.1,1795.32296719674,NA,"robust","switch_nonclock_tie_to_correlated"
"clockdiscrete_mu0.8_het0.05","discrete","discrete",0.8,0.05,4,1.20741079525529,0.282602897457965,10,"correlated",0.1,1821.18740048083,NA,"robust","switch_nonclock_tie_to_correlated"
"clockstrict_mu0_het0.25","strict","clock",0,0.25,4,0.359407138458771,9.22300807786985e-06,1,"clock",0.1,935.55176296525,NA,"robust","phiic_default"
"clockautocorrelated_mu0_het0.25","autocorrelated","correlated",0,0.25,4,NA,0.361573623546851,NA,"correlated",0.1,1431.26367727471,NA,"robust","switch_nonclock_tie_to_correlated"
