"condition","clock_model","mu","heterotachy","treepl_pulse_score","treepl_pulse_error","treepl_burst_loss","treepl_tempo_composite","treepl_mae_mean_30reps","treepl_rate_irregularity","treepl_log_rate_sd","treepl_parent_child_jump_mean","treepl_extreme_rate_frac","chronos_pulse_score","chronos_pulse_error","chronos_burst_loss","chronos_tempo_composite","chronos_mae_mean_30reps","chronos_rate_irregularity","chronos_log_rate_sd","chronos_parent_child_jump_mean","chronos_extreme_rate_frac","chronos_model","chronos_lambda","delta_pulse_score_treepl_minus_chronos","delta_burst_loss_treepl_minus_chronos","delta_tempo_composite_treepl_minus_chronos","delta_mae_mean30_treepl_minus_chronos","delta_rate_irregularity_treepl_minus_chronos","delta_log_rate_sd_treepl_minus_chronos","delta_parent_child_jump_mean_treepl_minus_chronos","delta_extreme_rate_frac_treepl_minus_chronos"
"clockautocorrelated_mu0_het0.05","autocorrelated",0,0.05,0.987029093411961,0.0131413619665468,0,0.1185362854742,1.04999790491254,0.759679401010771,0.163676580435337,0.111359712281206,0.0704697986577181,0.998841222859523,0.00116012146270832,0,0.0126894944363321,0.0563669121934898,0.201978721405645,0.107817045500694,0.0304751745635531,0,"correlated",0.1,-0.0118121294475619,0,0.105846791037868,0.993630992719047,0.557700679605126,0.0558595349346431,0.0808845377176528,0.0704697986577181
"clockautocorrelated_mu0_het0.25","autocorrelated",0,0.25,0.974397856081049,0.0262748360530272,0.0216062885504243,0.213436440359936,3.20591375060564,1.34122650904418,0.513486359526085,0.3909197472653,0.0268456375838926,0.985201105183248,0.0150211918550364,0,0.119753793552395,0.809700112042665,0.774469334270008,0.537105049170873,0.16509802489851,0,"correlated",0.1,-0.0108032491021992,0.0216062885504243,0.0936826468075414,2.39621363856297,0.566757174774176,-0.0236186896447877,0.225821722366789,0.0268456375838926
"clockautocorrelated_mu0.5_het0.05","autocorrelated",0.5,0.05,0.91459717172554,0.0933775337543773,0.114306040074224,0.0868751521214056,0.813728755486689,0.725141846321128,0.140736633483313,0.0911352631216519,0.0671140939597315,0.958087443978102,0.0437460654404065,0.0569460079727717,0.0128608300277748,0.0763659213204243,0.346500955825122,0.116564054386207,0.0266963021106549,0.0671140939597315,"correlated",0.1,-0.0434902722525617,0.0573600321014523,0.0740143220936307,0.737362834166265,0.378640890496006,0.0241725790971056,0.064438961010997,0
"clockautocorrelated_mu0.5_het0.25","autocorrelated",0.5,0.25,0.798477803262203,0.252382966582756,0.32226392132579,0.146654473467155,3.26918644563991,1.44693775912227,0.569743924289086,0.426665348309575,0.0402684563758389,0.835858286238833,0.196375051206068,0.240359576724662,0.131765835158385,1.20070643686789,0.872729139306267,0.646423619593701,0.173439268676645,0,"correlated",0.1,-0.0373804829766303,0.0819043446011286,0.01488863830877,2.06848000877202,0.574208619816004,-0.0766796953046154,0.25322607963293,0.0402684563758389
"clockautocorrelated_mu0.8_het0.05","autocorrelated",0.8,0.05,0.846059813497517,0.181949531282087,0.222966371925959,0.152080584754514,4.41894304350891,0.654533396887709,0.146821015142944,0.0869392388531107,0.0503355704697987,0.988759522851202,0.0113682618361895,0.012458589943389,0.021606935504752,0.177540258811143,0.210960441134063,0.0929819001274836,0.0268423192413396,0.00671140939597315,"correlated",0.1,-0.142699709353685,0.21050778198257,0.130473649249762,4.24140278469776,0.443572955753646,0.0538391150154604,0.060096919611771,0.0436241610738255
"clockautocorrelated_mu0.8_het0.25","autocorrelated",0.8,0.25,0.917716588087546,0.0896610271412076,0.109118786926424,0.228143917013699,12.373490913059,1.24343172830447,0.453216979909861,0.371329497900495,0.023489932885906,0.987546142883263,0.0126109116080147,0.00160949633216554,0.232714245033488,3.16901057923697,1.34574245672325,0.439596045340619,0.372356387940047,0.0302013422818792,"discrete",0.1,-0.0698295547957172,0.107509290594258,-0.00457032801978835,9.20448033382201,-0.102310728418776,0.0136209345692425,-0.00102689003955242,-0.00671140939597316
"clockdiscrete_mu0_het0.05","discrete",0,0.05,0.794915672097663,0.25799507432172,0.326046344538713,0.136022336047987,0.434283722131597,0.875667157299285,0.118770847181866,0.0856179145205796,0.0570469798657718,0.994958174244468,0.00506737457517845,0.00585843174409522,0.0129213779883552,0.0534580635405636,0.6640518907862,0.0577416855388405,0.0470593088660348,0,"clock",0.1,-0.200042502146804,0.320187912794617,0.123100958059632,0.380825658591033,0.211615266513086,0.0610291616430254,0.0385586056545448,0.0570469798657718
"clockdiscrete_mu0_het0.25","discrete",0,0.25,0.826352947159457,0.210136665498011,0.267185383017949,0.125594034198259,0.477809566786199,1.12086585970695,0.33601622819408,0.269771948393039,0.00671140939597315,0.912448616669249,0.0959521245704158,0.11450672601147,0.106812154432861,0.505376189571206,0.704034586349587,0.303147161574088,0.155803632798442,0.0134228187919463,"correlated",0.1,-0.0860956695097913,0.15267865700648,0.0187818797653985,-0.0275666227850065,0.416831273357362,0.0328690666199928,0.113968315594597,-0.00671140939597315
"clockdiscrete_mu0.5_het0.05","discrete",0.5,0.05,0.881619189458956,0.134276581041406,0.158440317019909,0.143475276799762,1.00847776708486,0.806538460325038,0.159929218927029,0.0895973911269661,0.0738255033557047,0.98171769749412,0.0186227696134506,0.0237299096901895,0.0164086659718512,0.129923741258757,0.419699588716983,0.0602179118291857,0.0295066331651072,0.0436241610738255,"correlated",0.1,-0.100098508035164,0.13471040732972,0.127066610827911,0.878554025826106,0.386838871608055,0.099711307097843,0.0600907579618589,0.0302013422818792
"clockdiscrete_mu0.5_het0.25","discrete",0.5,0.25,0.89248460327338,0.120467508719236,0.139875566203038,0.179352305523898,0.856665281140976,1.1439667528001,0.323511356387264,0.253125201141787,0.0201342281879195,0.926796035927497,0.0789860565159229,0.0921719061050746,0.102447190690892,0.912217390967644,0.709326464941223,0.287977392017465,0.145159266691038,0.0268456375838926,"correlated",0.1,-0.0343114326541168,0.0477036600979634,0.0769051148330055,-0.0555521098266685,0.43464028785888,0.0355339643697991,0.107965934450748,-0.00671140939597316
