benchmark,benchmark_label,row_order,panel_order,panel_label,method,condition,tree_path
A,A: exact root,1,1,Reference phylogram,reference,rep_001 / clockstrict_mu0.5_het0.25,/Users/ricardobetancur/Desktop/Proxy_Misplaced/chronosPL/simulations/benchmark_abc/benchmark_A_exact_root_150_localcompare4_shards/shard_01_of_04/replicate_outputs/rep_001/clockstrict_mu0.5_het0.25/phylogram.tre
A,A: exact root,1,2,chronos,chronos,rep_001 / clockstrict_mu0.5_het0.25,/Users/ricardobetancur/Desktop/Proxy_Misplaced/chronosPL/simulations/benchmark_abc/benchmark_A_exact_root_150_localcompare4_shards/shard_01_of_04/replicate_outputs/rep_001/clockstrict_mu0.5_het0.25/chronos_tree.tre
A,A: exact root,1,3,RelTime,RelTime,rep_001 / clockstrict_mu0.5_het0.25,/Users/ricardobetancur/Desktop/Proxy_Misplaced/chronosPL/simulations/benchmark_abc/benchmark_A_exact_root_150_localcompare4_shards/shard_01_of_04/replicate_outputs/rep_001/clockstrict_mu0.5_het0.25/reltime_tree.tre
A,A: exact root,1,4,treePL,treePL,rep_001 / clockstrict_mu0.5_het0.25,/Users/ricardobetancur/Desktop/Proxy_Misplaced/chronosPL/simulations/benchmark_abc/benchmark_A_exact_root_150_localcompare4_shards/shard_01_of_04/replicate_outputs/rep_001/clockstrict_mu0.5_het0.25/treePL_tree.tre
B,B: wide brackets,2,1,Reference phylogram,reference,rep_001 / clockstrict_mu0.5_het0.25,/Users/ricardobetancur/Desktop/Proxy_Misplaced/chronosPL/simulations/benchmark_abc/benchmark_B_wide_brackets_150_localcompare4_shards/shard_01_of_04/replicate_outputs/rep_001/clockstrict_mu0.5_het0.25/phylogram.tre
B,B: wide brackets,2,2,chronos,chronos,rep_001 / clockstrict_mu0.5_het0.25,/Users/ricardobetancur/Desktop/Proxy_Misplaced/chronosPL/simulations/benchmark_abc/benchmark_B_wide_brackets_150_localcompare4_shards/shard_01_of_04/replicate_outputs/rep_001/clockstrict_mu0.5_het0.25/chronos_tree.tre
B,B: wide brackets,2,3,RelTime,RelTime,rep_001 / clockstrict_mu0.5_het0.25,/Users/ricardobetancur/Desktop/Proxy_Misplaced/chronosPL/simulations/benchmark_abc/benchmark_B_wide_brackets_150_localcompare4_shards/shard_01_of_04/replicate_outputs/rep_001/clockstrict_mu0.5_het0.25/reltime_tree.tre
B,B: wide brackets,2,4,treePL,treePL,rep_001 / clockstrict_mu0.5_het0.25,/Users/ricardobetancur/Desktop/Proxy_Misplaced/chronosPL/simulations/benchmark_abc/benchmark_B_wide_brackets_150_localcompare4_shards/shard_01_of_04/replicate_outputs/rep_001/clockstrict_mu0.5_het0.25/treePL_tree.tre
C,C: tight brackets,3,1,Reference phylogram,reference,rep_001 / clockstrict_mu0.5_het0.25,/Users/ricardobetancur/Desktop/Proxy_Misplaced/chronosPL/simulations/benchmark_abc/benchmark_C_tight_brackets_150_shards/shard_01_of_02/replicate_outputs/rep_001/clockstrict_mu0.5_het0.25/phylogram.tre
C,C: tight brackets,3,2,chronos,chronos,rep_001 / clockstrict_mu0.5_het0.25,/Users/ricardobetancur/Desktop/Proxy_Misplaced/chronosPL/simulations/benchmark_abc/benchmark_C_tight_brackets_150_shards/shard_01_of_02/replicate_outputs/rep_001/clockstrict_mu0.5_het0.25/chronos_tree.tre
C,C: tight brackets,3,3,RelTime,RelTime,rep_001 / clockstrict_mu0.5_het0.25,/Users/ricardobetancur/Desktop/Proxy_Misplaced/chronosPL/simulations/benchmark_abc/benchmark_C_tight_brackets_150_shards/shard_01_of_02/replicate_outputs/rep_001/clockstrict_mu0.5_het0.25/reltime_tree.tre
C,C: tight brackets,3,4,treePL,treePL,rep_001 / clockstrict_mu0.5_het0.25,/Users/ricardobetancur/Desktop/Proxy_Misplaced/chronosPL/simulations/benchmark_abc/benchmark_C_tight_brackets_150_shards/shard_01_of_02/replicate_outputs/rep_001/clockstrict_mu0.5_het0.25/treePL_tree.tre
D,D: min-only,4,1,Reference phylogram,reference,rep_001 / clockstrict_mu0.5_het0.25,/Users/ricardobetancur/Desktop/Proxy_Misplaced/chronosPL/simulations/benchmark_abc/benchmark_D_root_bracket_internal_mins_150_shards/shard_01_of_02/replicate_outputs/rep_001/clockstrict_mu0.5_het0.25/phylogram.tre
D,D: min-only,4,2,chronos,chronos,rep_001 / clockstrict_mu0.5_het0.25,/Users/ricardobetancur/Desktop/Proxy_Misplaced/chronosPL/simulations/benchmark_abc/benchmark_D_root_bracket_internal_mins_150_shards/shard_01_of_02/replicate_outputs/rep_001/clockstrict_mu0.5_het0.25/chronos_tree.tre
D,D: min-only,4,3,RelTime,RelTime,rep_001 / clockstrict_mu0.5_het0.25,/Users/ricardobetancur/Desktop/Proxy_Misplaced/chronosPL/simulations/benchmark_abc/benchmark_D_root_bracket_internal_mins_150_shards/shard_01_of_02/replicate_outputs/rep_001/clockstrict_mu0.5_het0.25/reltime_tree.tre
D,D: min-only,4,4,treePL,treePL,rep_001 / clockstrict_mu0.5_het0.25,/Users/ricardobetancur/Desktop/Proxy_Misplaced/chronosPL/simulations/benchmark_abc/benchmark_D_root_bracket_internal_mins_150_shards/shard_01_of_02/replicate_outputs/rep_001/clockstrict_mu0.5_het0.25/treePL_tree.tre
E,E: rich wide brackets,5,1,Reference phylogram,reference,rep_001 / clockstrict_mu0.5_het0.25,/Users/ricardobetancur/Desktop/Proxy_Misplaced/chronosPL/simulations/benchmark_abc/benchmark_E_rich_wide_brackets_150_shards/shard_01_of_02/replicate_outputs/rep_001/clockstrict_mu0.5_het0.25/phylogram.tre
E,E: rich wide brackets,5,2,chronos,chronos,rep_001 / clockstrict_mu0.5_het0.25,/Users/ricardobetancur/Desktop/Proxy_Misplaced/chronosPL/simulations/benchmark_abc/benchmark_E_rich_wide_brackets_150_shards/shard_01_of_02/replicate_outputs/rep_001/clockstrict_mu0.5_het0.25/chronos_tree.tre
E,E: rich wide brackets,5,3,RelTime,RelTime,rep_001 / clockstrict_mu0.5_het0.25,/Users/ricardobetancur/Desktop/Proxy_Misplaced/chronosPL/simulations/benchmark_abc/benchmark_E_rich_wide_brackets_150_shards/shard_01_of_02/replicate_outputs/rep_001/clockstrict_mu0.5_het0.25/reltime_tree.tre
E,E: rich wide brackets,5,4,treePL,treePL,rep_001 / clockstrict_mu0.5_het0.25,/Users/ricardobetancur/Desktop/Proxy_Misplaced/chronosPL/simulations/benchmark_abc/benchmark_E_rich_wide_brackets_150_shards/shard_01_of_02/replicate_outputs/rep_001/clockstrict_mu0.5_het0.25/treePL_tree.tre
